"","Country.Region","Total_confirmed","Total_deaths","Total_Recovered","HDI_Rank_2018","Year_2018","Country_Code","Population_2018","Cases_million","Recovered_percentage","Measles_2018","Expenditure_2016","Avg_IQ_temperature"
"54","Gambia",9,1,2,174,0.466,"GMB",2280102,3.9471918361547,22.2222222222222,9,4.4,27.2921428571429
"55","Georgia",257,3,67,70,0.786,"GEO",3731000,68.8823371750201,26.0700389105058,2,8.4,0.800738095238095
"56","Germany",127854,3022,60300,4,0.939,"DEU",82927922,1541.74850781863,47.1631704913417,3,11.1,1.9952619047619
"57","Ghana",566,8,4,142,0.596,"GHA",29767108,19.0142757569865,0.706713780918728,8,4.4,28.8814761904762
"58","Greece",2114,98,269,32,0.872,"GRC",10727668,197.06053543044,12.724692526017,3,8.5,7.92202380952381
"59","Grenada",14,0,0,78,0.763,"GRD",111454,125.612360256249,0,16,5.2,26.6950476190476
"60","Guatemala",155,5,19,126,0.651,"GTM",17247807,8.98664972306334,12.258064516129,13,5.8,22.5168333333333
"61","Guinea",250,0,17,174,0.466,"GIN",12414318,20.1380373855414,6.8,52,5.5,26.9310238095238
"62","Guyana",45,6,8,123,0.67,"GUY",779004,57.7660705208189,17.7777777777778,2,4.2,26.5459761904762
"63","Haiti",33,3,0,169,0.503,"HTI",11123176,2.96677855317582,0,31,5.4,25.5301666666667
"64","Honduras",393,25,7,132,0.623,"HND",9587522,40.9907794735699,1.78117048346056,11,8.4,24.5907380952381
"65","Hungary",1410,99,118,43,0.845,"HUN",9768785,144.337294760812,8.36879432624113,1,7.4,1.93769047619048
"66","Iceland",1701,8,889,6,0.938,"ISL",353574,4810.8741027338,52.2633744855967,7,8.3,-1.77564285714286
"67","India",9205,331,1080,129,0.647,"IND",1352617328,6.80532461728156,11.7327539380771,10,3.7,20.812
"68","Indonesia",4241,373,359,111,0.707,"IDN",267663435,15.844525046912,8.46498467342608,25,3.1,26.3137619047619
"69","Iran",71686,4474,43894,65,0.797,"IRN",81800269,876.354086317247,61.2309237508021,1,8.1,9.62385714285714
"70","Iraq",1352,76,640,120,0.689,"IRQ",38433600,35.1775529744807,47.3372781065089,17,3.3,12.766880952381
"71","Ireland",9655,334,25,3,0.942,"IRL",4853506,1989.28362301396,0.258933195235629,8,7.4,6.37945238095238
"72","Israel",11145,103,1627,22,0.906,"ISR",8883800,1254.53071883653,14.5984746523105,2,7.3,13.7538095238095
